"Schulnummer","Latitude","Longitude","Gemeinden.Kennziffer","Schulname","Grundschulen","PLZ","Ort_parsed","Strasse"
10718,50.8811500206968,10.9696400123507,16070028,"Wilhelm-Hey-Grundschule Ichtershausen Staatliche Grundschule",1,"D-99334","Amt Wachsenburg","Schulstraße 22"
16328,50.6110799874231,10.3860400292957,16066042,"Staatliche Grundschule ""Landsbergblick"" Walldorf",1,"D-98639","Walldorf","Schulstraße 26"
13905,50.7205100081491,10.8910399726085,16070034,"Staatliche Grundschule Martinroda",1,"D-98693","Martinroda","Schulstraße 2a"
11079,51.3618199813002,11.0484200115541,16065085,"Kyffhäuserland-Grundschule Staatliche Schule Rottleben",1,"D-99707","Kyffhäuserland","Schulstraße 3"
17447,50.8938499870216,11.856319975041,16074041,"Friedensschule Hermsdorf Staatliche Grundschule",1,"D-07629","Hermsdorf","Schulstraße 30"
14909,51.2162500020192,10.2205400216489,16064074,"Käthe-Kollwitz-Grundschule Lengenfeld unterm Stein Staatliche Grundschule",1,"D-99976","Südeichsfeld unterm Ste","Schulstraße 30"
11832,51.0768799907886,10.8541699921965,16067009,"Staatliche Grundschule ""Geschwister Scholl"" Dachwig",1,"D-99100","Dachwig","Schulstraße 36"
11353,50.6278100147042,10.1629000204443,16066095,"Staatliche Grundschule ""Andreas Fack"" Kaltennordheim",1,"D-36452","Kaltennordheim","Schulstraße 4"
20633,50.6278100147042,10.1629000204443,16066095,"Staatliche Regelschule ""Andreas Fack"" Kaltennordheim",0,"D-36452","Kaltennordheim","Schulstraße 4"
23820,51.3634399936364,10.0748700043535,16061097,"Staatliche Regelschule Uder",0,"D-37318","Uder","Schulstraße 4"
25545,50.7576000135195,10.4815900374584,16066023,"Staatliche Regelschule Floh",0,"D-98593","Floh-Seligenthal","Schulstraße 4"
16341,50.7576000135195,10.4815900374584,16066023,"Staatliche Grundschule Floh",1,"D-98593","Floh-Seligenthal","Schulstraße 4"
45690,50.7765100061784,11.0798399947024,16070048,"Staatliche Gemeinschaftsschule Stadtilm",1,"D-99326","Stadtilm","Schulstraße 4"
10794,50.7769200069722,11.0809999662829,16070048,"Staatliche Grundschule Stadtilm",1,"D-99326","Stadtilm","Schulstraße 4a"
11799,50.9225999987324,11.8794500044917,16074109,"Staatliche Grundschule am Mühltal Weißenborn",1,"D-07639","Weißenborn","Schulstraße 5"
14102,50.8058799853576,11.5860900150547,16074044,"Friedensschule Kahla Staatliche Grundschule",1,"D-07768","Kahla","Schulstraße 5"
15527,50.6503199928675,11.7184700219512,16075073,"Grundschule am Rittergut Staatliche Grundschule Knau",1,"D-07806","Neustadt an der Orla","Schulstraße 5"
11498,51.0443699830418,10.3855699721657,16063006,"Staatliche Grundschule Berka vor dem Hainich",1,"D-99826","Berka v. d. Hainich","Schulstraße 5"
22572,50.9426000159898,10.5245600317253,16067088,"Staatliche Regelschule ""Bertha von Suttner"" Mechterstädt",0,"D-99880","Mechterstädt","Schulstraße 5"
11905,51.1149500082782,10.934220017369,16068014,"Laurentius-Schule GeRA-Aue Staatliche Grundschule Gebesee",1,"D-99189","Gebesee","Schulstraße 54"
11142,50.715550016945,9.94918998794128,16063032,"Rhön-Ulstertal-Schule Geisa Staatliche Grundschule",1,"D-36419","Geisa","Schulstraße 6"
13708,50.5813000074501,11.0093999891586,16070058,"Staatliche Grundschule Großbreitenbach",1,"D-98701","Großbreitenbach","Schulstraße 6"
45717,50.5813000074501,11.0093999891586,16070058,"Staatliche Gemeinschaftsschule Großbreitenbach",1,"D-98701","Großbreitenbach","Schulstraße 6"
12570,50.8973500183305,10.8475900305657,16067089,"Staatliche Grundschule Wandersleben",1,"D-99869","Drei Gleichen","Schulstraße 6"
78207,51.0003600041384,12.4404600041175,16077001,"Christliches Spalatin-Gymnasium Altenburg",0,"D-04600","Altenburg","Schulstraße 7"
23910,50.5030300051454,10.6164000419045,16069051,"Staatliche Regelschule ""Anne Frank"" Themar",0,"D-98660","Themar","Schulstraße 7"
20770,51.0748299868195,10.3347100086206,16063104,"Staatliche Regelschule ""Thomas Müntzer"" Mihla",0,"D-99831","Amt Creuzburg","Schulstraße 7"
10225,50.975490017317,12.4868000263752,16077036,"Staatliche Grundschule Nobitz",1,"D-04603","Nobitz","Schulstraße 8"
14462,50.4020799977715,11.6960999796615,16075136,"Grundschule am Rennsteig Staatliche Grundschule Blankenstein",1,"D-07366","Blankenstein","Schulstraße 8"
12177,50.9288599812094,12.0063299741626,16076003,"Bergschule Staatliche Grundschule Bad Köstritz",1,"D-07586","Bad Köstritz","Schulstraße 8"
14819,51.1486499948188,10.5644599863163,16064076,"Staatliche Grundschule Großengottern",1,"D-99991","Unstrut-Hainich","Schulstraße 8"
11293,50.8273099972062,10.0220899982481,16063082,"Vitus-Grundschule Vacha Staatliche Grundschule",1,"D-36404","Vacha","Schulstraße 9-11"
17570,50.6452499891842,10.596380033808,16066092,"Staatliche Grundschule Benshausen",1,"D-98544","Zella-Mehlis","Schulstraße 9"
21024,51.1379600088754,10.2332999604909,16063076,"Staatliche Regelschule Treffurt",0,"D-99830","Treffurt","Schulstraße 9"
10751,50.8518199812862,11.1005800082817,16070041,"Staatliche Grundschule ""Astrid Lindgren"" Osthausen",1,"D-99310","Osthausen-Wülfershausen","Schulstraße 99a"
15407,51.5476600181068,10.7640699812975,16062065,"Heinz-Sielmann-Grundschule Niedersachswerfen Staatliche Grundschule",1,"D-99768","Harztor","Schulstraße 9a"
24375,50.4644699815961,11.5377599613451,16075133,"Staatliche Regelschule ""Geschwister Scholl"" Wurzbach",0,"D-07343","Wurzbach","Schulweg 3"
30229,50.8366999918766,10.085719958919,16063101,"Staatliches regionales Förderzentrum ""Marianne Frostig"" Dorndorf",1,"D-36460","Krayenberggemeinde","Schulweg 6"
10255,50.9950299938186,12.304960001402,16077044,"Staatliche Grundschule Posa",1,"D-04617","Starkenberg","Schulweg 7"
24631,51.2331299815481,10.4548400316643,16064071,"Staatliche Regelschule Unstruttal Ammern",0,"D-99974","Unstruttal","Schützentorstraße 20"
40745,50.9826899883257,11.3224799983774,16055000,"Thüringenkolleg Weimar",1,"D-99423","Weimar","Schwanseestraße 11"
64567,51.0109300031378,11.0382100152961,16051000,"Fachschule im Fachbereich Technik, Staatlich anerkannte Ersatzschule der Erfurt Bildungszentrum gGmbH",0,"D-99086","Erfurt","Schwerborner Straße 35"
20601,51.3681999926307,10.8873500073735,16065067,"Staatliche Regelschule ""Johann Karl Wezel"" Östertal",0,"D-99706","Sondershausen","Segelteichstraße 36"
17032,51.3681999926307,10.8873500073735,16065067,"Staatliche Grundschule ""Östertal"" Sondershausen",1,"D-99706","Sondershausen","Segelteichstraße 36"
23893,50.4284000119327,10.7275500291621,16069024,"Staatliche Regelschule ""Joliot-Curie"" Hildburghausen",0,"D-98646","Hildburghausen","Seminarstraße 2"
11169,50.828569841137,10.3341868370612,16063099,"Staatliche Grundschule ""Friedrich Fröbel"" Schweina",1,"D-36448","Bad Liebenstein","Sennfelder Straße 6"
11340,50.6841599991006,9.92664996065508,16063032,"Staatliche Grundschule ""Konstantin Gutberlet"" Geismar",1,"D-36419","Geisa","Setzelbacher Straße 3"
60033,51.0010800096211,12.4224000202596,16077001,"Johann-Friedrich-Pierer-Schule Berufliches Schulzentrum für Gewerbe und Technik",0,"D-04600","Altenburg","Siegfried-Flack-Straße 33a/b"
10028,51.0004799910823,12.423989983473,16077001,"Wilhelm-Busch-Schule Altenburg Staatliche Grundschule",1,"D-04600","Altenburg","Siegfried-Flack-Straße 33c"
30010,51.0006099944006,12.4210900126123,16077001,"Staatliches regionales Förderzentrum ""Erich Kästner"" Altenburg",1,"D-04600","Altenburg","Siegfried-Flack-Straße 39a"
15497,51.4332200081242,10.6963199799398,16062066,"Staatliche Grundschule Nohra",1,"D-99752","Bleicherode","Sondershäuser Landstraße 105"
61756,51.216449994229,10.4860300153894,16064046,"Berufsschulcampus Unstrut-Hainich Staatliche berufsbildende Schule",0,"D-99974","Mühlhausen","Sondershäuser Landstraße 39"
50750,50.6438500018063,11.3575399906177,16073077,"Staatliches Gymnasium ""Heinrich Böll"" Saalfeld",0,"D-07318","Saalfeld","Sonneberger Straße 15"
14882,51.2297700118412,10.589950024425,16064037,"Sophienschule Körner Staatliche Grundschule",1,"D-99998","Körner","Sophienstraße 7"
64728,50.9718708125746,11.0481792289264,16051000,"Private Fachschule für Wirtschaft und Soziales Erfurt II  HBFS für Podologie",0,"D-99099","Erfurt","Sorbenweg 3-4"
64303,50.9718708125746,11.0481792289264,16051000,"Private Fachschule für Wirtschaft und Soziales Erfurt, Staatlich genehmigte/anerkannte berufsbildende Ersatzschule",0,"D-99099","Erfurt","Sorbenweg 3-4"
15860,50.6312600060512,11.1791999969535,16073084,"Staatliche Grundschule Sitzendorf",1,"D-07429","Sitzendorf","Sorbitztal 1"
70801,50.9937100117066,11.0223900112428,16051000,"Christophorus-Schule in der Christophoruswerk Erfurt gGmbH, Förderschule mit dem Förderschwerpunkt Geistige Entwicklung",1,"D-99089","Erfurt","Spittelgartenstraße 1"
11385,50.7460000043483,10.0668399734734,16063062,"Staatliche Grundschule Oechsen",1,"D-36404","Oechsen","Stadtlengsfelder Straße 94b"
11469,50.9820700208573,10.294179986368,16056000,"Hörselschule Eisenach Staatliche Grundschule",1,"D-99817","Eisenach","Stedtfelder Straße 81a"
65198,51.551359999716,10.7707999789951,16062065,"Private Berufsschule Mechatroniker/in für Kältetechnik",0,"D-99768","Harztor","Steinstraße 19"
14552,50.4097700167493,10.4133200228276,16066094,"Staatliche Grundschule Behrungen",1,"D-98631","Grabfeld","Steinweg 12"
14042,50.9977500052181,11.6005199642854,16074036,"Staatliche Grundschule ""Talblick"" Stiebritz",1,"D-07778","Hainichen","Stiebritz 29"
