"Name","School","lat","lon","PLZ","Location","School.Type","Board","Board.Type","District","Admin","AGS","AGS.Name","Großstadtregionaler.Einzugsbereich","Stadt.und.Gemeindetyp","BBSR.Mittelbereiche","RegioStar2","RegioStar5","RegioStar7","RegioStar17","Raumtyp","Wachsen.Schrumpfen"
"Staatliche Grundschule Sachsenbrunn",13604,50.4495799916096,10.9592199655991,98673,"Eisfeld","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069012,"Eisfeld, Stadt","nicht zu Großstadtregion gehörend","Kleine Kleinstadt","Hildburghausen","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","überdurchschnittlich schrumpfend"
"Staatliche Grundschule Eisfeld",13441,50.4242199987286,10.9048899779585,98673,"Eisfeld","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069012,"Eisfeld, Stadt","nicht zu Großstadtregion gehörend","Kleine Kleinstadt","Hildburghausen","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","überdurchschnittlich schrumpfend"
"Staatliches regionales Förderzentrum Hildburghausen",30678,50.4235300004592,10.7142499604794,98646,"Hildburghausen","Förderschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069024,"Hildburghausen, Stadt","nicht zu Großstadtregion gehörend","Größere Kleinstadt","Hildburghausen","Ländliche Region","Städtischer Raum","Ländliche Region - Mittelstädte, städtischer Raum","Periphere ländliche Region - Verstädterter Raum","peripher","wachsend"
"Staatliche Grundschule ""Astrid Lindgren"" Hildburghausen",13395,50.4235300004592,10.7142499604794,98646,"Hildburghausen","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069024,"Hildburghausen, Stadt","nicht zu Großstadtregion gehörend","Größere Kleinstadt","Hildburghausen","Ländliche Region","Städtischer Raum","Ländliche Region - Mittelstädte, städtischer Raum","Periphere ländliche Region - Verstädterter Raum","peripher","wachsend"
"Staatliche Grundschule I Hildburghausen",13438,50.4306800153249,10.7226799757791,98646,"Hildburghausen","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069024,"Hildburghausen, Stadt","nicht zu Großstadtregion gehörend","Größere Kleinstadt","Hildburghausen","Ländliche Region","Städtischer Raum","Ländliche Region - Mittelstädte, städtischer Raum","Periphere ländliche Region - Verstädterter Raum","peripher","wachsend"
"Albert-Schweitzer-Förderschule Hildburghausen, Förderzentrum mit dem Förderschwerpunkt geistige Entwicklung",70648,50.4209500087523,10.733890016905,98646,"Hildburghausen","Förderschule","Diakoniewerk der Superintendenturen Sonneberg und Hildburghausen/Eisfeld e.V.","in freier Trägerschaft","Hildburghausen","Staatliches Schulamt Südthüringen",16069024,"Hildburghausen, Stadt","nicht zu Großstadtregion gehörend","Größere Kleinstadt","Hildburghausen","Ländliche Region","Städtischer Raum","Ländliche Region - Mittelstädte, städtischer Raum","Periphere ländliche Region - Verstädterter Raum","peripher","wachsend"
"Staatliche Grundschule Schönbrunn",13540,50.5227100013395,10.8819799734661,98667,"Schleusegrund","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069042,"Schleusegrund","nicht zu Großstadtregion gehörend","Landgemeinde","Hildburghausen","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","sehr peripher","überdurchschnittlich schrumpfend"
"Staatliche Grundschule Hinternah",17602,50.5185400045098,10.8016599671923,98553,"Schleusingen","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069043,"Schleusingen, Stadt","nicht zu Großstadtregion gehörend","Größere Kleinstadt","Suhl/Zella-Mehlis","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Staatliche Grundschule Gerhart Hauptmann Schleusingen",17675,50.5084419540265,10.7601014355678,98553,"Schleusingen","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069043,"Schleusingen, Stadt","nicht zu Großstadtregion gehörend","Größere Kleinstadt","Suhl/Zella-Mehlis","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Lindenschule-Private Förderschule, Förderzentrum mit dem Förderschwerpunkt geistige Entwicklung",70651,50.5103899866857,10.757950018513,98553,"Schleusingen","Förderschule","Stiftung Rehabilitationszentrum Thüringer Wald","in freier Trägerschaft","Hildburghausen","Staatliches Schulamt Südthüringen",16069043,"Schleusingen, Stadt","nicht zu Großstadtregion gehörend","Größere Kleinstadt","Suhl/Zella-Mehlis","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Staatliche Grundschule Erlau",17599,50.5405500021486,10.75152000913,98553,"Schleusingen","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069043,"Schleusingen, Stadt","nicht zu Großstadtregion gehörend","Größere Kleinstadt","Suhl/Zella-Mehlis","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Staatliche Grundschule ""Am Straufhain"" Streufdorf",13471,50.3517499800547,10.6891100344663,98646,"Straufhain","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069049,"Straufhain","nicht zu Großstadtregion gehörend","Landgemeinde","Hildburghausen","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","sehr peripher","überdurchschnittlich schrumpfend"
"Staatliche Grundschule Anne Frank Themar",13501,50.5095499942589,10.6212600370037,98660,"Themar","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069051,"Themar, Stadt","nicht zu Großstadtregion gehörend","Landgemeinde","Hildburghausen","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","sehr peripher","überdurchschnittlich schrumpfend"
"Staatliche Grundschule Veilsdorf",13454,50.4108799902773,10.8140100309691,98669,"Veilsdorf","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069053,"Veilsdorf","nicht zu Großstadtregion gehörend","Landgemeinde","Hildburghausen","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","überdurchschnittlich schrumpfend"
"Stiftung Deutsche Landerziehungsheime Hermann-Lietz-Schule Haubinda, Staatlich anerkannte Grundschule",76135,50.3384400207263,10.645920015241,98663,"Westhausen","Grundschule","Stiftung Deutsche Landerziehungsheime","in freier Trägerschaft","Hildburghausen","Staatliches Schulamt Südthüringen",16069056,"Westhausen","nicht zu Großstadtregion gehörend","Landgemeinde","Hildburghausen","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","sehr peripher","überdurchschnittlich schrumpfend"
"Staatliche Grundschule Brattendorf",13574,50.4697800010768,10.8519099796433,98673,"Auengrund","Grundschule","Landratsamt Hildburghausen","staatlich","Hildburghausen","Staatliches Schulamt Südthüringen",16069058,"Auengrund","nicht zu Großstadtregion gehörend","Landgemeinde","Hildburghausen","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Periphere ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
